Input arguments:
id               resnet50_upernet_train
arch_encoder     resnet50
arch_decoder     upernet
weights_encoder  
weights_decoder  
fc_dim           2048
list_train       /home/ky_aneur/cs230/code/cta-scripts/train_list_100x_upsampling.odgt
list_val         ./data/validation.odgt
root_dataset     /data2/yeom/ky_aneur/sah_png/train
num_gpus         2
batch_size_per_gpu 2
num_epoch        20
start_epoch      1
epoch_iters      500
optim            adam
lr_encoder       0.02
lr_decoder       0.02
lr_pow           0.9
beta1            0.9
weight_decay     0.0001
deep_sup_scale   0.4
fix_bn           0
num_class        2
workers          16
imgSize          [300, 375, 450, 525, 600]
imgMaxSize       1000
padding_constant 32
segm_downsampling_rate 4
random_flip      True
seed             304
ckpt             /data2/yeom/ky_aneur/results/ckpt/upsampling/
disp_iter        20
Model ID: resnet50_upernet_train-resnet50-upernet-ngpus2-batchSize4-imgMaxSize1000-paddingConst32-segmDownsampleRate4-LR_encoder0.02-LR_decoder0.02-epoch20
# samples: 60560
1 Epoch = 500 iters
Epoch: [5][20/500], Time: 1.18, Data: 0.04, lr_encoder: 0.016326, lr_decoder: 0.016326, Accuracy: 98.05, IOU: 0.035565 Loss: 0.053151
Epoch: [5][40/500], Time: 1.15, Data: 0.04, lr_encoder: 0.016289, lr_decoder: 0.016289, Accuracy: 97.87, IOU: 0.034213 Loss: 0.050173
Epoch: [5][60/500], Time: 1.15, Data: 0.04, lr_encoder: 0.016252, lr_decoder: 0.016252, Accuracy: 97.78, IOU: 0.035800 Loss: 0.052795
Epoch: [5][80/500], Time: 1.13, Data: 0.04, lr_encoder: 0.016216, lr_decoder: 0.016216, Accuracy: 97.66, IOU: 0.034724 Loss: 0.051738
Epoch: [5][100/500], Time: 1.13, Data: 0.04, lr_encoder: 0.016179, lr_decoder: 0.016179, Accuracy: 97.80, IOU: 0.036089 Loss: 0.051888
Epoch: [5][120/500], Time: 1.12, Data: 0.04, lr_encoder: 0.016142, lr_decoder: 0.016142, Accuracy: 97.57, IOU: 0.033361 Loss: 0.057783
Epoch: [5][140/500], Time: 1.11, Data: 0.04, lr_encoder: 0.016105, lr_decoder: 0.016105, Accuracy: 97.16, IOU: 0.030581 Loss: 0.074059
Epoch: [5][160/500], Time: 1.11, Data: 0.04, lr_encoder: 0.016068, lr_decoder: 0.016068, Accuracy: 96.36, IOU: 0.027542 Loss: 0.084588
Epoch: [5][180/500], Time: 1.11, Data: 0.04, lr_encoder: 0.016031, lr_decoder: 0.016031, Accuracy: 95.97, IOU: 0.025456 Loss: 0.087412
Epoch: [5][200/500], Time: 1.11, Data: 0.04, lr_encoder: 0.015994, lr_decoder: 0.015994, Accuracy: 96.11, IOU: 0.025571 Loss: 0.085029
